#, Angular Second Moment, Contrast, Correlation, Inverse Difference Moment, Entropy,
HDisc_07_14 Neocortex 5c.tif , 0.0004772 , 1415.5398 , 0.0002938 , 0.04669 , 7.9109
HDisc_07_14 Neocortex 5c.tif , 0.0004677 , 1480.3713 , 0.000288 , 0.04577 , 7.9289
HDisc_07_14 Neocortex 5c.tif , 0.0004772 , 1414.7082 , 0.0002938 , 0.04669 , 7.9107
HDisc_07_14 Neocortex 5c.tif , 0.0004679 , 1477.6461 , 0.0002882 , 0.04578 , 7.9283
HDisc_07_23 Neocortex 1c.tif , 0.0005766 , 1610.5344 , 0.0002708 , 0.04695 , 7.6734
HDisc_07_23 Neocortex 1c.tif , 0.0005646 , 1691.1979 , 0.0002642 , 0.04577 , 7.6925
HDisc_07_23 Neocortex 1c.tif , 0.0005766 , 1610.7646 , 0.0002708 , 0.04696 , 7.6734
HDisc_07_23 Neocortex 1c.tif , 0.0005646 , 1689.5982 , 0.0002644 , 0.04576 , 7.6923
HDisc_07_23 Neocortex 2c.tif , 0.0005628 , 1558.8952 , 0.0002808 , 0.04694 , 7.7121
HDisc_07_23 Neocortex 2c.tif , 0.0005315 , 1797.3772 , 0.0002602 , 0.04361 , 7.7673
HDisc_07_23 Neocortex 2c.tif , 0.0005627 , 1563.2212 , 0.0002804 , 0.04696 , 7.7128
HDisc_07_23 Neocortex 2c.tif , 0.0005316 , 1796.3513 , 0.0002603 , 0.04359 , 7.7671
HDisc_07_23 Neocortex 3c.tif , 0.000831 , 1632.4236 , 0.0002833 , 0.05093 , 7.3272
HDisc_07_23 Neocortex 3c.tif , 0.000819 , 1688.7445 , 0.0002776 , 0.05017 , 7.3403
HDisc_07_23 Neocortex 3c.tif , 0.0008308 , 1634.9015 , 0.000283 , 0.05094 , 7.3277
HDisc_07_23 Neocortex 3c.tif , 0.000819 , 1687.4668 , 0.0002777 , 0.05018 , 7.3401
HDisc_07_23 Neocortex 4c.tif , 0.0005784 , 1595.7132 , 0.0002703 , 0.0474 , 7.6729
HDisc_07_23 Neocortex 4c.tif , 0.0005675 , 1660.835 , 0.0002652 , 0.04618 , 7.6888
HDisc_07_23 Neocortex 4c.tif , 0.0005785 , 1593.5845 , 0.0002705 , 0.0474 , 7.6725
HDisc_07_23 Neocortex 4c.tif , 0.0005676 , 1661.0034 , 0.0002651 , 0.04618 , 7.6888
RMS_44 Neocortex 01c.tif , 0.0006635 , 1287.5201 , 0.0003262 , 0.0526 , 7.664
RMS_44 Neocortex 01c.tif , 0.0006563 , 1334.2024 , 0.000321 , 0.05168 , 7.677
RMS_44 Neocortex 01c.tif , 0.0006635 , 1286.1518 , 0.0003264 , 0.05261 , 7.6637
RMS_44 Neocortex 01c.tif , 0.0006564 , 1332.109 , 0.0003213 , 0.05169 , 7.6766
RMS_46 00.01.01a.tif , 0.001369 , 629.6672 , 0.0006968 , 0.07101 , 7.0305
RMS_46 00.01.01a.tif , 0.001327 , 672.9914 , 0.0006735 , 0.068 , 7.0576
RMS_46 00.01.01a.tif , 0.001369 , 631.3264 , 0.0006958 , 0.071 , 7.0312
RMS_46 00.01.01a.tif , 0.001326 , 675.9339 , 0.0006719 , 0.06795 , 7.059
RMS_46 00.01.02a.tif , 0.001655 , 607.9385 , 0.0006979 , 0.07296 , 6.8735
RMS_46 00.01.02a.tif , 0.001631 , 628.5271 , 0.0006872 , 0.07127 , 6.886
RMS_46 00.01.02a.tif , 0.001655 , 610.0108 , 0.0006966 , 0.07298 , 6.8741
RMS_46 00.01.02a.tif , 0.001631 , 628.3499 , 0.0006872 , 0.0713 , 6.8859
RMS_46 00.01.03a.tif , 0.001107 , 671.6848 , 0.0006509 , 0.06609 , 7.2182
RMS_46 00.01.03a.tif , 0.001084 , 716.7463 , 0.00063 , 0.06419 , 7.2403
RMS_46 00.01.03a.tif , 0.001106 , 673.2857 , 0.0006501 , 0.06608 , 7.2189
RMS_46 00.01.03a.tif , 0.001084 , 718.3872 , 0.0006292 , 0.06417 , 7.2407
RMS_46 00.02.04a.tif , 0.002024 , 524.1712 , 0.000757 , 0.0806 , 6.7109
RMS_46 00.02.04a.tif , 0.002026 , 511.7324 , 0.0007635 , 0.08087 , 6.7058
RMS_46 00.02.04a.tif , 0.002024 , 523.6765 , 0.0007573 , 0.0806 , 6.7107
RMS_46 00.02.04a.tif , 0.002026 , 510.1079 , 0.0007645 , 0.0809 , 6.7053
RMS_46 00.02.05a.tif , 0.001877 , 686.6264 , 0.0006587 , 0.07246 , 6.7363
RMS_46 00.02.05a.tif , 0.001878 , 677.3941 , 0.0006632 , 0.07234 , 6.7334
RMS_46 00.02.05a.tif , 0.001877 , 686.9394 , 0.0006585 , 0.07247 , 6.7365
RMS_46 00.02.05a.tif , 0.001879 , 676.8718 , 0.0006634 , 0.07234 , 6.7328
RMS_46 00.02.06a.tif , 0.001268 , 980.7134 , 0.0004806 , 0.06081 , 7.0647
RMS_46 00.02.06a.tif , 0.001268 , 969.0536 , 0.0004839 , 0.06078 , 7.062
RMS_46 00.02.06a.tif , 0.001269 , 979.8931 , 0.0004808 , 0.06083 , 7.0644
RMS_46 00.02.06a.tif , 0.001268 , 971.6373 , 0.0004832 , 0.06076 , 7.0629
RMS_46 02.01.01a.tif , 0.001187 , 746.2315 , 0.0006113 , 0.06491 , 7.1363
RMS_46 02.01.01a.tif , 0.001149 , 804.4735 , 0.0005852 , 0.06185 , 7.165
RMS_46 02.01.01a.tif , 0.001187 , 745.4284 , 0.0006117 , 0.06492 , 7.1362
RMS_46 02.01.01a.tif , 0.001149 , 804.5092 , 0.0005853 , 0.06182 , 7.1653
RMS_46 02.01.01b.tif , 0.001845 , 801.8859 , 0.0005841 , 0.06972 , 6.7265
RMS_46 02.01.01b.tif , 0.001823 , 819.0175 , 0.0005768 , 0.0683 , 6.7344
RMS_46 02.01.01b.tif , 0.001845 , 801.2317 , 0.0005844 , 0.06973 , 6.7262
RMS_46 02.01.01b.tif , 0.001823 , 822.8862 , 0.0005749 , 0.06831 , 6.7355
RMS_46 02.01.02a.tif , 0.001586 , 824.7676 , 0.0005617 , 0.06721 , 6.8716
RMS_46 02.01.02a.tif , 0.001578 , 828.8564 , 0.00056 , 0.06671 , 6.8746
