ID, Mean, SD, Modal, Median, Kurtosis,
RMS_46 04.02.05b.tif , 58.8823 , 36.6054 , 46 , 52 , 3.2953
RMS_46 04.02.06a.tif , 65.6777 , 39.1757 , 53 , 60 , 2.2012
RMS_46 04.02.06b.tif , 65.78 , 40.6021 , 47 , 57 , 2.0421
RMS_46 04.02.07b.tif , 68.0246 , 40.9984 , 49 , 60 , 1.812
RMS_46 04.02.08b.tif , 71.2308 , 40.6068 , 57 , 64 , 1.5843
RMS_46 Neocortex 01c.tif , 83.5744 , 44.8182 , 77 , 80 , 0.2475
RMS_47 00.01.01a.tif , 53.8035 , 33.655 , 40 , 47 , 4.964
RMS_47 00.01.02a.tif , 46.3561 , 37.3448 , 29 , 38 , 6.242
RMS_47 00.01.03a.tif , 54.3621 , 35.2673 , 37 , 48 , 3.7892
RMS_47 00.02.04a.tif , 48.5297 , 33.357 , 35 , 42 , 6.6759
RMS_47 00.02.05a.tif , 50.6021 , 34.3425 , 36 , 43 , 5.1121
RMS_47 00.02.06a.tif , 65.1376 , 39.5531 , 50 , 57 , 2.1752
RMS_47 02.01.01a.tif , 53.2425 , 33.2475 , 41 , 48 , 5.3779
RMS_47 02.01.01b.tif , 51.3131 , 33.134 , 38 , 45 , 5.8262
RMS_47 02.01.02a.tif , 49.3083 , 36.5396 , 35 , 41 , 5.8022
RMS_47 02.01.02b.tif , 68.1875 , 38.7339 , 57 , 61 , 1.8644
RMS_47 02.01.03a.tif , 55.4084 , 34.9937 , 38 , 49 , 3.5135
RMS_47 02.01.03b.tif , 56.3574 , 35.5797 , 43 , 52 , 4.3416
RMS_47 02.01.04b.tif , 60.595 , 39.2278 , 40 , 52 , 2.8857
RMS_47 02.02.015b.tif , 63.9115 , 39.596 , 46 , 57 , 2.2361
RMS_47 02.02.04a.tif , 55.4352 , 34.4718 , 43 , 51 , 4.6569
RMS_47 02.02.05a.tif , 52.6854 , 34.9475 , 38 , 45 , 4.4547
RMS_47 02.02.05b.tif , 68.8478 , 38.3473 , 60 , 65 , 2.3147
RMS_47 02.02.06a.tif , 63.9115 , 39.596 , 46 , 57 , 2.2361
RMS_47 02.02.06b.tif , 66.6958 , 38.6853 , 51 , 61 , 2.2266
RMS_47 02.02.07b.tif , 62.9949 , 40.4582 , 47 , 55 , 2.6189
RMS_47 02.02.08b.tif , 70.1254 , 40.2275 , 55 , 63 , 1.5333
RMS_47 02.02.09b.tif , 59.8405 , 35.6478 , 47 , 56 , 3.8291
RMS_47 02.02.10b.tif , 65.2075 , 38.0608 , 51 , 59 , 2.3931
RMS_47 02.02.11b.tif , 60.6458 , 36.0199 , 48 , 56 , 3.1887
RMS_47 02.02.12b.tif , 62.778 , 38.1498 , 47 , 58 , 2.6026
RMS_47 02.02.13b.tif , 68.8915 , 40.5968 , 52 , 63 , 1.7992
RMS_47 02.02.14b.tif , 63.8249 , 39.3357 , 49 , 57 , 2.4965
RMS_47 03.01.01a.tif , 53.4425 , 32.8038 , 43 , 49 , 5.3696
RMS_47 03.01.01b.tif , 51.6535 , 32.7798 , 40 , 47 , 5.6242
RMS_47 03.01.02a.tif , 49.5807 , 36.0038 , 34 , 40 , 5.9925
RMS_47 03.01.02b.tif , 62.949 , 36.5547 , 52 , 56 , 2.8391
RMS_47 03.01.03a.tif , 53.4831 , 34.2796 , 37 , 47 , 4.0979
RMS_47 03.01.03b.tif , 55.8634 , 35.0942 , 44 , 49 , 4.5262
RMS_47 03.01.04b.tif , 59.8635 , 38.802 , 41 , 54 , 2.9058
RMS_47 03.02.04a.tif , 57.6023 , 35.1914 , 47 , 51 , 4.0111
RMS_47 03.02.05a.tif , 53.8721 , 34.8984 , 40 , 46 , 4.2964
RMS_47 03.02.05b.tif , 67.0907 , 38.6493 , 56 , 61 , 2.3794
RMS_47 03.02.06a.tif , 65.5435 , 41.7776 , 43 , 59 , 1.7431
RMS_47 03.02.06b.tif , 68.77 , 39.661 , 55 , 65 , 1.9407
